estimator,sample_size,index,estimated_eigenvalue,true_eigenvalue
Ledoit-Wolf,250,10,0.0006841498433,0.0006844294287
Sample,500,0,2.178011151e-07,2.23739771e-07
Sample,500,1,1.529498245e-06,1.566458901e-06
Sample,500,2,2.671179511e-06,2.746943642e-06
Sample,500,3,3.70622191e-06,3.754230924e-06
Sample,500,4,5.113108891e-06,5.18313425e-06
Sample,500,5,8.025734381e-06,8.055493928e-06
Sample,500,6,1.618856955e-05,1.634111943e-05
Sample,500,7,2.866456697e-05,2.874872782e-05
Sample,500,8,0.0001933403645,0.0001944465526
Sample,500,9,0.0004051574856,0.0004054777877
Sample,500,10,0.00068530944,0.0006844294287
EWMA,500,0,1.559458378e-07,2.23739771e-07
EWMA,500,1,1.032155968e-06,1.566458901e-06
EWMA,500,2,1.823872657e-06,2.746943642e-06
EWMA,500,3,2.812987676e-06,3.754230924e-06
EWMA,500,4,4.284867223e-06,5.18313425e-06
EWMA,500,5,7.117274265e-06,8.055493928e-06
EWMA,500,6,1.387003701e-05,1.634111943e-05
EWMA,500,7,2.697899803e-05,2.874872782e-05
EWMA,500,8,0.0001697076205,0.0001944465526
EWMA,500,9,0.0003736083908,0.0004054777877
EWMA,500,10,0.000702329023,0.0006844294287
Ledoit-Wolf,500,0,3.694764005e-07,2.23739771e-07
Ledoit-Wolf,500,1,1.853987327e-06,1.566458901e-06
Ledoit-Wolf,500,2,3.359365037e-06,2.746943642e-06
Ledoit-Wolf,500,3,4.367515979e-06,3.754230924e-06
Ledoit-Wolf,500,4,6.964499459e-06,5.18313425e-06
Ledoit-Wolf,500,5,8.775678101e-06,8.055493928e-06
Ledoit-Wolf,500,6,1.79042519e-05,1.634111943e-05
Ledoit-Wolf,500,7,2.844472017e-05,2.874872782e-05
Ledoit-Wolf,500,8,0.0001912079498,0.0001944465526
Ledoit-Wolf,500,9,0.0004008866211,0.0004054777877
Ledoit-Wolf,500,10,0.0006830900574,0.0006844294287
Sample,1260,0,2.218650365e-07,2.23739771e-07
Sample,1260,1,1.552472994e-06,1.566458901e-06
Sample,1260,2,2.72004099e-06,2.746943642e-06
Sample,1260,3,3.722169205e-06,3.754230924e-06
Sample,1260,4,5.143431737e-06,5.18313425e-06
Sample,1260,5,8.015153136e-06,8.055493928e-06
Sample,1260,6,1.631781317e-05,1.634111943e-05
Sample,1260,7,2.876920841e-05,2.874872782e-05
Sample,1260,8,0.0001940520231,0.0001944465526
Sample,1260,9,0.0004043922126,0.0004054777877
Sample,1260,10,0.0006858745369,0.0006844294287
EWMA,1260,0,1.578525483e-07,2.23739771e-07
EWMA,1260,1,1.047436802e-06,1.566458901e-06
EWMA,1260,2,1.784728824e-06,2.746943642e-06
EWMA,1260,3,2.807975132e-06,3.754230924e-06
EWMA,1260,4,4.192770447e-06,5.18313425e-06
EWMA,1260,5,6.909986387e-06,8.055493928e-06
EWMA,1260,6,1.443076578e-05,1.634111943e-05
EWMA,1260,7,2.704467362e-05,2.874872782e-05
EWMA,1260,8,0.0001715322792,0.0001944465526
EWMA,1260,9,0.0003745104647,0.0004054777877
EWMA,1260,10,0.0007089221423,0.0006844294287
Ledoit-Wolf,1260,0,2.891936302e-07,2.23739771e-07
Ledoit-Wolf,1260,1,1.68204366e-06,1.566458901e-06
Ledoit-Wolf,1260,2,2.993316554e-06,2.746943642e-06
Ledoit-Wolf,1260,3,3.985819436e-06,3.754230924e-06
Ledoit-Wolf,1260,4,5.89937685e-06,5.18313425e-06
Ledoit-Wolf,1260,5,8.299713729e-06,8.055493928e-06
Ledoit-Wolf,1260,6,1.700415126e-05,1.634111943e-05
Ledoit-Wolf,1260,7,2.867355554e-05,2.874872782e-05
Ledoit-Wolf,1260,8,0.000193206686,0.0001944465526
Ledoit-Wolf,1260,9,0.0004026893161,0.0004054777877
Ledoit-Wolf,1260,10,0.0006849857062,0.0006844294287
