date,price
2021-09-17,100.000000
2021-09-20,100.750252
2021-09-21,100.614245
2021-09-22,100.775201
2021-09-23,99.753559
2021-09-24,99.038317
2021-09-27,99.195729
2021-09-28,98.057637
2021-09-29,97.786633
2021-09-30,97.658137
2021-10-01,98.238091
2021-10-04,98.108503
2021-10-05,97.554339
2021-10-06,97.708406
2021-10-07,96.878038
2021-10-08,96.612892
2021-10-12,97.182920
2021-10-13,98.040803
2021-10-14,98.338342
2021-10-15,98.066268
2021-10-18,98.649596
2021-10-19,97.806397
2021-10-20,97.396144
2021-10-21,97.128713
2021-10-22,97.703182
2021-10-25,97.857484
2021-10-26,98.296199
2021-10-27,99.892792
2021-10-28,99.467756
2021-10-29,99.771630
2021-11-01,99.347544
2021-11-02,99.360332
2021-11-03,98.939287
2021-11-04,99.530217
2021-11-05,100.714499
2021-11-08,100.727109
2021-11-09,101.484087
2021-11-10,100.157632
2021-11-12,99.439492
2021-11-15,98.586275
2021-11-16,98.313515
2021-11-17,98.469051
2021-11-18,98.768108
2021-11-19,99.501711
2021-11-22,98.504444
2021-11-23,97.664902
2021-11-24,98.243482
2021-11-29,98.684274
2021-11-30,99.996879
2021-12-01,100.009633
2021-12-02,100.022389
2021-12-03,101.214586
2021-12-06,100.336908
2021-12-07,100.202668
2021-12-08,99.049760
2021-12-09,99.206824
2021-12-10,99.075452
2021-12-13,100.103222
2021-12-14,99.823550
2021-12-15,99.255217
2021-12-16,99.123781
2021-12-17,99.570279
2021-12-20,99.004509
2021-12-21,98.444177
2021-12-22,99.029276
2021-12-23,98.468804
2021-12-27,98.767422
2021-12-28,98.637303
2021-12-29,97.938941
2021-12-30,98.376987
2022-01-03,97.259932
2022-01-04,96.577961
2022-01-05,96.453323
2022-01-06,96.466642
2022-01-07,96.067736
2022-01-10,96.081114
2022-01-11,96.506175
2022-01-12,96.519501
2022-01-13,96.670806
2022-01-14,95.722798
2022-01-18,94.656087
2022-01-19,95.340225
2022-01-20,95.084047
2022-01-21,95.502094
2022-01-24,94.841441
2022-01-25,94.188511
2022-01-26,94.202179
2022-01-27,94.481124
2022-01-28,94.229170
2022-01-31,93.846577
2022-02-01,93.728868
2022-02-02,94.269566
2022-02-03,93.623688
2022-02-04,92.210317
2022-02-07,92.224272
2022-02-08,91.983078
2022-02-09,92.124424
2022-02-10,91.125164
2022-02-11,91.390277
2022-02-14,90.653128
2022-02-15,89.926045
2022-02-16,89.451821
2022-02-17,89.344784
2022-02-18,89.845756
2022-02-22,89.615808
2022-02-23,89.386943
2022-02-24,88.079884
2022-02-25,88.450460
2022-02-28,88.464947
2022-03-01,90.905506
2022-03-02,89.317577
2022-03-03,89.331963
2022-03-04,89.954534
2022-03-07,89.359097
2022-03-08,88.053629
2022-03-09,87.479577
2022-03-10,86.334747
2022-03-11,86.464053
2022-03-14,85.116595
2022-03-15,84.686064
2022-03-16,85.706030
2022-03-17,86.288389
2022-03-18,87.339653
2022-03-21,86.084255
2022-03-22,85.645451
2022-03-23,86.569253
2022-03-24,86.584037
2022-03-25,85.573092
2022-03-28,86.040120
2022-03-29,86.970451
2022-03-30,87.449493
2022-03-31,87.815238
2022-04-01,88.419979
2022-04-04,88.079004
2022-04-05,87.155660
2022-04-06,86.363185
2022-04-07,85.695959
2022-04-08,85.037570
2022-04-11,83.839144
2022-04-12,83.528869
2022-04-13,83.544074
2022-04-14,82.275304
2022-04-18,81.975349
2022-04-19,81.469355
2022-04-20,82.319546
2022-04-21,81.601278
2022-04-22,81.305852
2022-04-25,81.528201
2022-04-26,81.647472
2022-04-27,81.248545
2022-04-28,80.853085
2022-04-29,80.562695
2022-05-02,79.271632
2022-05-03,79.783975
2022-05-04,79.899719
2022-05-05,78.529138
2022-05-06,77.963981
2022-05-09,77.883838
2022-05-10,78.575413
2022-05-11,79.276927
2022-05-12,79.689343
2022-05-13,78.423368
2022-05-16,78.439254
2022-05-17,77.683936
2022-05-18,78.179272
2022-05-19,78.098797
2022-05-20,78.792818
2022-05-23,78.322080
2022-05-24,79.215251
2022-05-25,79.825569
2022-05-26,80.242062
2022-05-27,80.257789
2022-05-31,79.972110
2022-06-01,80.088073
2022-06-02,80.103832
2022-06-03,79.819269
2022-06-06,79.140888
2022-06-07,79.849101
2022-06-08,79.368045
2022-06-09,79.285217
2022-06-10,78.517656
2022-06-13,76.438707
2022-06-14,75.809730
2022-06-15,76.284932
2022-06-16,76.486184
2022-06-17,76.781359
